,指数代码,指数简称,指数@收盘价:不复权[20231122],指数@涨跌幅:前复权[20231122],指数@同花顺概念指数,market_code,code
138,885919.TI,碳中和,1473.729,-0.716,同花顺概念指数,48,885919
139,885918.TI,快手概念,1531.772,1.2927,同花顺概念指数,48,885918
140,885917.TI,新冠检测,950.885,-0.5286,同花顺概念指数,48,885917
141,885916.TI,同花顺漂亮100,703.847,-1.3323,同花顺概念指数,48,885916
142,885915.TI,物业管理,1121.483,0.449,同花顺概念指数,48,885915
143,885914.TI,煤炭概念,1714.943,-0.7211,同花顺概念指数,48,885914
144,885913.TI,医美概念,1253.954,-0.4307,同花顺概念指数,48,885913
145,885912.TI,有机硅概念,1419.078,-1.4502,同花顺概念指数,48,885912
146,885911.TI,社区团购,864.921,1.4168,同花顺概念指数,48,885911
147,885910.TI,拼多多概念,1012.755,0.1765,同花顺概念指数,48,885910
148,885909.TI,辅助生殖,1216.07,0.0717,同花顺概念指数,48,885909
149,885908.TI,第三代半导体,1248.839,-1.6884,同花顺概念指数,48,885908
150,885907.TI,科创次新股,700.708,-1.8472,同花顺概念指数,48,885907
151,885906.TI,核准制次新股,944.633,0.3349,同花顺概念指数,48,885906
152,885905.TI,注册制次新股,294.73,-1.5335,同花顺概念指数,48,885905
153,885904.TI,代糖概念,790.451,-0.3131,同花顺概念指数,48,885904
154,885903.TI,环氧丙烷,1304.069,-1.0472,同花顺概念指数,48,885903
155,885902.TI,汽车拆解概念,994.788,-0.7217,同花顺概念指数,48,885902
156,885901.TI,可降解塑料,1116.627,-0.425,同花顺概念指数,48,885901
157,885900.TI,NMN概念,1193.565,0.2354,同花顺概念指数,48,885900
158,885899.TI,新型烟草,1138.476,-1.6292,同花顺概念指数,48,885899
159,885898.TI,免税店,883.315,-0.3045,同花顺概念指数,48,885898
160,885897.TI,中芯国际概念,1356.065,-1.6002,同花顺概念指数,48,885897
161,885895.TI,室外经济,1925.309,-0.8552,同花顺概念指数,48,885895
162,885894.TI,海南自贸区,1199.004,0.0714,同花顺概念指数,48,885894
