id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,时间
4965902150275722	,NrEpN19J8,"发布了头条文章：《相信现在——静心观市231108》  
相信现在——静心观市231108
 ",['https://weibo.com/ttarticle/p/show?id=2309404965902150926503'],,,,2023-11-08T20:33:17,微博 weibo.com,4,0,0,,,2023-11-08 20:33:17
4965821948365618	,NrCkqz6hk,"发布了头条文章：《又到点。利弗莫尔：11.8复盘记录》  
又到点。利弗莫尔：11.8复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404965821951639674'],,,,2023-11-08T15:14:36,微博 weibo.com,37,7,0,,,2023-11-08 15:14:36
4965550132298290	,Nrvg19DTc,"发布了头条文章：《题材——静心观市231107》  
题材——静心观市231107
 ",['https://weibo.com/ttarticle/p/show?id=2309404965550131380700'],,,,2023-11-07T21:14:29,微博 weibo.com,3,1,0,,,2023-11-07 21:14:29
4965465319278335	,Nrt3dCVIz,"发布了头条文章：《撑。利弗莫尔：11.7复盘记录》  
撑。利弗莫尔：11.7复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404965465322553353'],,,,2023-11-07T15:37:29,微博 weibo.com,18,4,0,,,2023-11-07 15:37:29
4965221564421259	,NrmI4iyaD,"发布了头条文章：《分化——静心观市231106》  
分化——静心观市231106
 ",['https://weibo.com/ttarticle/p/show?id=2309404965221566382212'],,,,2023-11-06T23:28:53,微博 weibo.com,7,0,0,,,2023-11-06 23:28:53
4965108571178312	,NrjLP4Wx2,"发布了头条文章：《行情。利弗莫尔：11.6复盘记录》  
行情。利弗莫尔：11.6复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404965108572094474'],,,,2023-11-06T15:59:53,微博 weibo.com,23,4,0,,,2023-11-06 15:59:53
4964737139084971	,Nra6JC7pN,"发布了头条文章：《选择方向——静心观市231105》  
选择方向——静心观市231105
 ",['https://weibo.com/ttarticle/p/show?id=2309404964737141309528'],,,,2023-11-05T15:23:57,微博 weibo.com,8,1,0,,,2023-11-05 15:23:57
4964008840135602	,NqRa40zh8,"发布了头条文章：《个股。利弗莫尔：11.3复盘记录》  
个股。利弗莫尔：11.3复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404964008837906716'],,,,2023-11-03T15:09:56,微博 weibo.com,35,10,0,,,2023-11-03 15:09:56
4963413830668709	,NqBGn2NXD,"发布了头条文章：《杠杆——静心观市231101》  
杠杆——静心观市231101
 ",['https://weibo.com/ttarticle/p/show?id=2309404963413834203406'],,,,2023-11-01T23:45:36,微博 weibo.com,11,2,0,,,2023-11-01 23:45:36
4963293711040942	,NqyyD4mNo,"发布了头条文章：《刺激。利弗莫尔：11.1复盘记录》  
刺激。利弗莫尔：11.1复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404963293709336996'],,,,2023-11-01T15:48:16,微博 weibo.com,29,8,0,,,2023-11-01 15:48:16
