date,title,link
20220223 15:53:46,这就是，价值投资？？,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485378&idx=1&sn=101cb2e76aba4738abd7aca4998b009a&chksm=ead1eccadda665dcbddbf95e8bcc0c4c0c4f22f09207f2168bd2f17568e7978bf832ca613c56#rd
20220223 15:53:46,基金E课堂：美国基金系列之三,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485378&idx=2&sn=b75b9c0cfb1a5b1315f3010fedc17c5e&chksm=ead1eccadda665dc8ce705a74b72c012d73d1d23241ea914f2ced4fbd4fa8f6bdee530000460#rd
20220213 18:03:46,随便聊聊 2022/02,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485360&idx=1&sn=149861589b8f9483793ffe56abcc004b&chksm=ead1ecb8dda665ae7a17317f0d2abe816449d4309840ace591ade908fd947707ef8c8ccdbb90#rd
20220213 18:03:46,基金E课堂：美国基金系列之二,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485360&idx=2&sn=3603a48cfe659b120d0eafc238fbcb2b&chksm=ead1ecb8dda665aea0a1db4b3283d9b49a92f01c869438c4b831e01cdf4a11decb934231e0bf#rd
20220126 15:05:00,2021年度网上打新收益全统计,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485340&idx=1&sn=7ff1ba3915f5ba4667db7b28971bb435&chksm=ead1ec94dda665826f5d09e531b9d983f155eb6d9782a2d9ff5d347e7fc0e8a84e491cd337a6#rd
20220126 15:05:00,基金E课堂：美国基金系列之一,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485340&idx=2&sn=f68857cb7713b5819629e8a7061b32ab&chksm=ead1ec94dda66582ee6f0786f28a48e01af48d81ea20d4e534f9769ea9e40e252cec428249b0#rd
20220103 10:00:00,Lagom投资【2021年报】,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485321&idx=1&sn=4147abf324068c9c43c82a8e2e387fc1&chksm=ead1ec81dda66597a2a5ae25487b5e575e38f887bfeb49b4fc3698f9a6c60e4d5856381277d1#rd
20211115 13:08:33,写给组合持有人的一封信,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485299&idx=1&sn=cac31461359b733cbbfa3e15d9a21d82&chksm=ead1ec7bdda6656dc621621a1559e0e49573c6b485ca3a22238011f606530e69042a9fa7fa3d#rd
20211027 15:53:07,重读《股票作手回忆录》,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485280&idx=1&sn=8249292b6015685f0d8ed06149bc730f&chksm=ead1ec68dda6657e2e5037f53c35ace35329747d293debbf6a2199eca45f04ba36190a8cea07#rd
20211027 15:53:07,基金E课堂：“知己知彼”才能“长相守”,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485280&idx=2&sn=c045d886ea9995252c161ee63ce2300f&chksm=ead1ec68dda6657e9bb9e963804a2b913c7f0e0cf89ce0fe6d8b8249ff89eaab60a7fcb7bd04#rd
20210929 10:26:47,集中投资、还是分散投资？,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485253&idx=1&sn=904add8e2f0f7d13b2d653894282318e&chksm=ead1ec4ddda6655bea132c00ba4b51fa9334af5a01eeeb720ff573136c587f8c5cf75e0c94ee#rd
20210929 10:26:47,基金E课堂：实现小目标需要多长时间？,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485253&idx=2&sn=3f2b488a24df18baa45288f48e113c44&chksm=ead1ec4ddda6655b1996bdc7ad04fbc48f19b4abccd586a6acade1b4c8a02e07e61848c28014#rd
20210915 10:25:59,Lagom低频轮动〖2021~09〗全市场估值,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485218&idx=1&sn=fac7e7e55a9a68b50de0bd364c4ad0c5&chksm=ead1ec2adda6653c1c109702a16390594ee01163d6956401c6e6d92f34ae7f2f59e442761d61#rd
20210831 15:33:00,普通投资者，致富的三个要素,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485200&idx=1&sn=06543b17bcc3be28bbb42b7ba0c0a759&chksm=ead1ec18dda6650e0edd00f86e8756e5c06724b6c741f2ea855afbd4de0c7cee6e562a76ee85#rd
20210831 15:33:00,基金E课堂：抵御“追涨杀跌”的诱惑,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485200&idx=2&sn=c5879d4440efe3240d51b9470b840484&chksm=ead1ec18dda6650ee9e0431c70802280c391fe12ea19beb4123338b774d1dfd4b9f00d19337d#rd
20210810 17:00:05,《资产配置攻略：构建长效的投资体系》出版！,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485171&idx=1&sn=0583fc5c5ab2763182889cb978af4ce5&chksm=ead1edfbdda664edbdf65eb88811785279c47d0fd90e72c8471373cb96b28eba67c7ecab8c89#rd
20210809 15:56:29,我的第一本书《资产配置攻略》正式出版！1000册限量签名版火爆发售中，请登录微信小程序“机工社知更读书会”，搜索“资产配置攻略”，先到先得。更多详情 明日发文更新～,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485134&idx=1&sn=2804c94e4f65c063812f1df242e3a1a9&chksm=ead1edc6dda664d0cca1e917052e085295ac4c3570411344f61c49ef516f68560dec0accc4c9#rd
20210715 08:43:54,三季度策略（兼2021半年简报）,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485120&idx=1&sn=2576a12036ee1b650bd3238e4f30c516&chksm=ead1edc8dda664ded32a898e17fbdaabbda83c6cf403531fa1fb46ead29ec32bd1bd8a374221#rd
20210604 07:59:00,为何 要做资产配置？,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485101&idx=1&sn=2b8cb1f8eefd2d223b418249781208a1&chksm=ead1eda5dda664b30fc156a294a66c198e280db35245e3cfd0f5edb555ce0f9c1b7c68d47bd8#rd
20210515 22:02:15,A股超额收益利器：打新！,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485084&idx=1&sn=8e4bae9b6679a687948737cc66b0baa0&chksm=ead1ed94dda664825bc07834a903a9080885b0d96b4e4ea7d218fe14d5472b6d806eb357a304#rd
20210415 09:39:55,关于 何时撤退的一些想法,http://mp.weixin.qq.com/s?__biz=MzI3MDQ2NjY2Mw==&mid=2247485073&idx=1&sn=40c81066b854478d10008253d8326df6&chksm=ead1ed99dda6648f2ac004d27c216d7e877b4f4973a9df47b9b5cc06915885ad988527e21a17#rd
